country_lc,country_en,country_code,postal_code,region1_lc,region1_en,region2_lc,region2_en,region3_lc,region3_en,region4_lc,region4_en,timezone,utc,latitude,longitude
Mali,Mali,ML,,,Bamako,,Bamako,,Kalban-Coro,,Commune I,Africa/Bamako,UTC +0.0,12.6701928208491,-7.94452888644587
Mali,Mali,ML,,,Bamako,,Bamako,,Kalban-Coro,,Commune II,Africa/Bamako,UTC +0.0,12.6492115241946,-7.9764413999092
Mali,Mali,ML,,,Bamako,,Bamako,,Kalban-Coro,,Commune III,Africa/Bamako,UTC +0.0,12.6553843084781,-8.01170420910718
Mali,Mali,ML,,,Bamako,,Bamako,,Kalban-Coro,,Commune IV,Africa/Bamako,UTC +0.0,12.6139977298964,-8.04566958852767
Mali,Mali,ML,,,Bamako,,Bamako,,Kalban-Coro,,Commune V,Africa/Bamako,UTC +0.0,12.5894728313673,-7.99653456522012
Mali,Mali,ML,,,Bamako,,Bamako,,Kalban-Coro,,Commune VI,Africa/Bamako,UTC +0.0,12.5772742866227,-7.94554753723985
Mali,Mali,ML,,,Gao,,Ansongo,,Ansongo,,Ansongo,Africa/Bamako,UTC +0.0,15.7199427500477,0.524307672719469
Mali,Mali,ML,,,Gao,,Ansongo,,Ansongo,,Bara,Africa/Bamako,UTC +0.0,15.8737509305628,0.506705808024858
Mali,Mali,ML,,,Gao,,Ansongo,,Ansongo,,Bourra,Africa/Bamako,UTC +0.0,15.770258535711,0.693072794434521
Mali,Mali,ML,,,Gao,,Ansongo,,Ansongo,,Tin Hama,Africa/Bamako,UTC +0.0,15.67761419466,1.0654128736445
Mali,Mali,ML,,,Gao,,Ansongo,,Ouatagouna,,Ouattagouna,Africa/Bamako,UTC +0.0,15.2385994230224,0.859927826069894
Mali,Mali,ML,,,Gao,,Ansongo,,Talataye,,Talataye,Africa/Bamako,UTC +0.0,16.332830090959,1.199067484055
Mali,Mali,ML,,,Gao,,Ansongo,,Tessit,,Tessit,Africa/Bamako,UTC +0.0,15.3429818512989,-0.040558082704522
Mali,Mali,ML,,,Gao,,Bourem,,Almoustarat,,Tarkint,Africa/Bamako,UTC +0.0,17.9053398348326,0.258985374881825
Mali,Mali,ML,,,Gao,,Bourem,,Bamba,,Bamba-Bou,Africa/Bamako,UTC +0.0,17.3564437013275,-1.35248548885235
Mali,Mali,ML,,,Gao,,Bourem,,Bourem,,Bourem,Africa/Bamako,UTC +0.0,17.1086864319341,-0.262655128761529
Mali,Mali,ML,,,Gao,,Bourem,,Bourem,,Taboye,Africa/Bamako,UTC +0.0,16.7578632630789,-0.308092939954435
Mali,Mali,ML,,,Gao,,Bourem,,Temera,,Temera,Africa/Bamako,UTC +0.0,17.99064061632,-0.61902557927833
Mali,Mali,ML,,,Gao,,Gao,,Djebock,,Anchawadi,Africa/Bamako,UTC +0.0,17.1040757725073,0.984209672600059
Mali,Mali,ML,,,Gao,,Gao,,Djebock,,Tilemsi-Gao,Africa/Bamako,UTC +0.0,16.9114484969837,0.611551830374599
Mali,Mali,ML,,,Gao,,Gao,,Gao,,Gounzoureye,Africa/Bamako,UTC +0.0,16.5696944154378,0.111972513233852
Mali,Mali,ML,,,Gao,,Gao,,Gao,,Sony-Aliber,Africa/Bamako,UTC +0.0,16.5305542451264,-0.079299504456891
Mali,Mali,ML,,,Gao,,Gao,,Gao-Central,,Gao,Africa/Bamako,UTC +0.0,16.2702089180604,-0.044943019078597
Mali,Mali,ML,,,Gao,,Gao,,Haoussa-Foulane,,Gabero,Africa/Bamako,UTC +0.0,16.0808475802937,0.321078254747374
Mali,Mali,ML,,,Gao,,Gao,,In-Tillit,,N'Tillit,Africa/Bamako,UTC +0.0,16.0844952303496,-0.357356091524672
Mali,Mali,ML,,,Gao,,Ménaka,,Anderamboukane,,Alata,Africa/Bamako,UTC +0.0,16.1932066282266,3.35846076953238
Mali,Mali,ML,,,Gao,,Ménaka,,Anderamboukane,,Anderamboukane,Africa/Bamako,UTC +0.0,15.6941074969746,3.34380699810846
Mali,Mali,ML,,,Gao,,Ménaka,,Inekar,,Inekar,Africa/Bamako,UTC +0.0,17.1674576774736,3.59847065650684
Mali,Mali,ML,,,Gao,,Ménaka,,Menaka,,Menaka,Africa/Bamako,UTC +0.0,15.9394439554537,2.11245321325937
Mali,Mali,ML,,,Gao,,Ménaka,,Tidermene,,Tidermene,Africa/Bamako,UTC +0.0,17.3011695146115,2.31009114962081
Mali,Mali,ML,,,Kayes,,Bafoulabé,,Bafoulabe,,Bafoulabe,Africa/Bamako,UTC +0.0,13.929576711505,-10.7876318754721
Mali,Mali,ML,,,Kayes,,Bafoulabé,,Bamafele,,Bamafele,Africa/Bamako,UTC +0.0,13.0896058330057,-10.3996555724448
Mali,Mali,ML,,,Kayes,,Bafoulabé,,Diakon,,Diakon,Africa/Bamako,UTC +0.0,14.488429474369,-10.4142554468947
Mali,Mali,ML,,,Kayes,,Bafoulabé,,Diallan,,Diallan,Africa/Bamako,UTC +0.0,14.2165660641544,-10.073120255279
Mali,Mali,ML,,,Kayes,,Bafoulabé,,Kontela,,Kontela,Africa/Bamako,UTC +0.0,14.0047699547755,-10.3406723507748
Mali,Mali,ML,,,Kayes,,Bafoulabé,,Koundian,,Diokeli,Africa/Bamako,UTC +0.0,13.3178185363551,-10.6594922295502
Mali,Mali,ML,,,Kayes,,Bafoulabé,,Koundian,,Koundian,Africa/Bamako,UTC +0.0,13.0491509181938,-10.7227801819477
Mali,Mali,ML,,,Kayes,,Bafoulabé,,Mahina,,Gounfan,Africa/Bamako,UTC +0.0,13.4362012310166,-11.0738900449421
Mali,Mali,ML,,,Kayes,,Bafoulabé,,Mahina,,Mahina,Africa/Bamako,UTC +0.0,13.5998626600942,-10.7880620647845
Mali,Mali,ML,,,Kayes,,Bafoulabé,,Mahina,,Niambia,Africa/Bamako,UTC +0.0,13.6531663532419,-11.2605530637862
Mali,Mali,ML,,,Kayes,,Bafoulabé,,Oualia,,Oualia,Africa/Bamako,UTC +0.0,13.5801205308486,-10.2586849017686
Mali,Mali,ML,,,Kayes,,Bafoulabé,,Oussoubidiagna,,Sidibela,Africa/Bamako,UTC +0.0,14.2496479258122,-10.7691109499163
Mali,Mali,ML,,,Kayes,,Bafoulabé,,Oussoubidiagna,,Tomora,Africa/Bamako,UTC +0.0,14.2051374565578,-10.5358134544217
Mali,Mali,ML,,,Kayes,,Diéma,,Bema,,Bema,Africa/Bamako,UTC +0.0,14.9529770406553,-9.32256188680358
Mali,Mali,ML,,,Kayes,,Diéma,,Bema,,Fassou Debe,Africa/Bamako,UTC +0.0,15.0136036850331,-9.46173537223361
Mali,Mali,ML,,,Kayes,,Diéma,,Bema,,Groumera,Africa/Bamako,UTC +0.0,14.8352422277043,-9.14963183284356
Mali,Mali,ML,,,Kayes,,Diéma,,Bema,,Guedebine,Africa/Bamako,UTC +0.0,15.1461972965524,-9.38345875406615
Mali,Mali,ML,,,Kayes,,Diéma,,Diangounte-Camara,,Diangounte Camara,Africa/Bamako,UTC +0.0,14.5987373245611,-9.48874197255021
Mali,Mali,ML,,,Kayes,,Diéma,,Diangounte-Camara,,Fatao,Africa/Bamako,UTC +0.0,14.2745841484461,-9.46595602765063
Mali,Mali,ML,,,Kayes,,Diéma,,Diangounte-Camara,,Lambidou,Africa/Bamako,UTC +0.0,14.3714485158298,-9.55145345972995
Mali,Mali,ML,,,Kayes,,Diéma,,Diangounte-Camara,,Madiga Sacko,Africa/Bamako,UTC +0.0,14.4138033457331,-9.32593501293738
Mali,Mali,ML,,,Kayes,,Diéma,,Diéma,,Dianguirde,Africa/Bamako,UTC +0.0,14.4180814566347,-8.98659539048906
Mali,Mali,ML,,,Kayes,,Diéma,,Diéma,,Diema,Africa/Bamako,UTC +0.0,14.557657179685,-9.18322220295784
Mali,Mali,ML,,,Kayes,,Diéma,,Dioumara,,Dioumara Koussata,Africa/Bamako,UTC +0.0,14.646628158225,-8.65673137772826
Mali,Mali,ML,,,Kayes,,Diéma,,Dioumara,,Gomitradougou,Africa/Bamako,UTC +0.0,14.46319837392,-8.35603311373097
